probes: 190
buildReflectionProbes: True
level geometry probe usage: BlendProbes
sector reflection probe 140: enabled=True, mode=Custom, texture=sector reflection probe 140 cubemap, importance=1, size=(11.88, 5.28, 40.68), pos=(124.20, 6.75, 70.20)
sector reflection probe 147: enabled=True, mode=Custom, texture=sector reflection probe 147 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(23.40, 6.75, 135.00)
sector reflection probe 109: enabled=True, mode=Custom, texture=sector reflection probe 109 cubemap, importance=1, size=(19.08, 5.28, 33.48), pos=(124.20, -2.55, 109.80)
sector reflection probe 149: enabled=True, mode=Custom, texture=sector reflection probe 149 cubemap, importance=1, size=(22.68, 5.28, 11.88), pos=(75.60, 6.75, 59.40)
sector reflection probe 157: enabled=True, mode=Custom, texture=sector reflection probe 157 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(199.80, 6.75, 70.20)
sector reflection probe 163: enabled=True, mode=Custom, texture=sector reflection probe 163 cubemap, importance=1, size=(4.68, 5.28, 15.48), pos=(178.20, 6.75, 108.00)
sector reflection probe 24: enabled=True, mode=Custom, texture=sector reflection probe 24 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(91.80, 2.10, 59.40)
sector reflection probe 65: enabled=True, mode=Custom, texture=sector reflection probe 65 cubemap, importance=1, size=(11.88, 5.28, 33.48), pos=(124.20, -2.55, 30.60)
sector reflection probe 188: enabled=True, mode=Custom, texture=sector reflection probe 188 cubemap, importance=1, size=(15.48, 5.28, 8.28), pos=(28.80, 6.75, 194.40)
sector reflection probe 170: enabled=True, mode=Custom, texture=sector reflection probe 170 cubemap, importance=1, size=(8.28, 5.28, 33.48), pos=(219.60, 6.75, 109.80)
sector reflection probe 23: enabled=True, mode=Custom, texture=sector reflection probe 23 cubemap, importance=1, size=(22.68, 5.28, 11.88), pos=(75.60, 2.10, 59.40)
sector reflection probe 133: enabled=True, mode=Custom, texture=sector reflection probe 133 cubemap, importance=1, size=(15.48, 5.28, 15.48), pos=(140.40, 6.75, 39.60)
sector reflection probe 137: enabled=True, mode=Custom, texture=sector reflection probe 137 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(37.80, 6.75, 45.00)
sector reflection probe 86: enabled=True, mode=Custom, texture=sector reflection probe 86 cubemap, importance=1, size=(22.68, 5.28, 11.88), pos=(75.60, -2.55, 59.40)
sector reflection probe 11: enabled=True, mode=Custom, texture=sector reflection probe 11 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(37.80, 2.10, 45.00)
sector reflection probe 12: enabled=True, mode=Custom, texture=sector reflection probe 12 cubemap, importance=1, size=(4.68, 5.28, 8.28), pos=(66.60, 2.10, 46.80)
sector reflection probe 180: enabled=True, mode=Custom, texture=sector reflection probe 180 cubemap, importance=1, size=(8.28, 5.28, 15.48), pos=(104.40, 6.75, 144.00)
sector reflection probe 177: enabled=True, mode=Custom, texture=sector reflection probe 177 cubemap, importance=1, size=(11.88, 5.28, 44.28), pos=(124.20, 6.75, 151.20)
sector reflection probe 164: enabled=True, mode=Custom, texture=sector reflection probe 164 cubemap, importance=1, size=(8.28, 5.28, 11.88), pos=(162.00, 6.75, 109.80)
sector reflection probe 39: enabled=True, mode=Custom, texture=sector reflection probe 39 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(185.40, 2.10, 109.80)
sector reflection probe 142: enabled=True, mode=Custom, texture=sector reflection probe 142 cubemap, importance=1, size=(11.88, 5.28, 80.28), pos=(9.00, 6.75, 104.40)
sector reflection probe 92: enabled=True, mode=Custom, texture=sector reflection probe 92 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(185.40, -2.55, 70.20)
sector reflection probe 171: enabled=True, mode=Custom, texture=sector reflection probe 171 cubemap, importance=1, size=(33.48, 5.28, 33.48), pos=(37.80, 6.75, 109.80)
sector reflection probe 85: enabled=True, mode=Custom, texture=sector reflection probe 85 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(16.20, -2.55, 135.00)
sector reflection probe 22: enabled=True, mode=Custom, texture=sector reflection probe 22 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(16.20, 2.10, 135.00)
sector reflection probe 98: enabled=True, mode=Custom, texture=sector reflection probe 98 cubemap, importance=1, size=(8.28, 5.28, 40.68), pos=(172.80, -2.55, 95.40)
sector reflection probe 69: enabled=True, mode=Custom, texture=sector reflection probe 69 cubemap, importance=1, size=(15.48, 5.28, 15.48), pos=(108.00, -2.55, 39.60)
sector reflection probe 99: enabled=True, mode=Custom, texture=sector reflection probe 99 cubemap, importance=1, size=(4.68, 5.28, 15.48), pos=(167.40, -2.55, 108.00)
sector reflection probe 71: enabled=True, mode=Custom, texture=sector reflection probe 71 cubemap, importance=1, size=(19.08, 5.28, 4.68), pos=(52.20, -2.55, 41.40)
sector reflection probe 108: enabled=True, mode=Custom, texture=sector reflection probe 108 cubemap, importance=1, size=(33.48, 5.28, 33.48), pos=(37.80, -2.55, 109.80)
sector reflection probe 60: enabled=True, mode=Custom, texture=sector reflection probe 60 cubemap, importance=1, size=(40.68, 5.28, 26.28), pos=(124.20, 2.10, 189.00)
sector reflection probe 181: enabled=True, mode=Custom, texture=sector reflection probe 181 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(9.00, 6.75, 153.00)
sector reflection probe 124: enabled=True, mode=Custom, texture=sector reflection probe 124 cubemap, importance=1, size=(19.08, 5.28, 8.28), pos=(30.60, -2.55, 187.20)
sector reflection probe 83: enabled=True, mode=Custom, texture=sector reflection probe 83 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(16.20, -2.55, 109.80)
sector reflection probe 04: enabled=True, mode=Custom, texture=sector reflection probe 04 cubemap, importance=1, size=(15.48, 5.28, 11.88), pos=(140.40, 2.10, 23.40)
sector reflection probe 05: enabled=True, mode=Custom, texture=sector reflection probe 05 cubemap, importance=1, size=(8.28, 5.28, 8.28), pos=(50.40, 2.10, 32.40)
sector reflection probe 03: enabled=True, mode=Custom, texture=sector reflection probe 03 cubemap, importance=1, size=(15.48, 5.28, 11.88), pos=(108.00, 2.10, 23.40)
sector reflection probe 25: enabled=True, mode=Custom, texture=sector reflection probe 25 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(189.00, 2.10, 70.20)
sector reflection probe 121: enabled=True, mode=Custom, texture=sector reflection probe 121 cubemap, importance=1, size=(11.88, 5.28, 22.68), pos=(70.20, -2.55, 183.60)
sector reflection probe 162: enabled=True, mode=Custom, texture=sector reflection probe 162 cubemap, importance=1, size=(4.68, 5.28, 15.48), pos=(167.40, 6.75, 108.00)
sector reflection probe 107: enabled=True, mode=Custom, texture=sector reflection probe 107 cubemap, importance=1, size=(8.28, 5.28, 33.48), pos=(219.60, -2.55, 109.80)
sector reflection probe 187: enabled=True, mode=Custom, texture=sector reflection probe 187 cubemap, importance=1, size=(19.08, 5.28, 8.28), pos=(30.60, 6.75, 187.20)
sector reflection probe 100: enabled=True, mode=Custom, texture=sector reflection probe 100 cubemap, importance=1, size=(4.68, 5.28, 15.48), pos=(178.20, -2.55, 108.00)
sector reflection probe 117: enabled=True, mode=Custom, texture=sector reflection probe 117 cubemap, importance=1, size=(8.28, 5.28, 15.48), pos=(104.40, -2.55, 144.00)
sector reflection probe 76: enabled=True, mode=Custom, texture=sector reflection probe 76 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(70.20, -2.55, 48.60)
sector reflection probe 91: enabled=True, mode=Custom, texture=sector reflection probe 91 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(210.60, -2.55, 70.20)
sector reflection probe 114: enabled=True, mode=Custom, texture=sector reflection probe 114 cubemap, importance=1, size=(11.88, 5.28, 44.28), pos=(124.20, -2.55, 151.20)
sector reflection probe 129: enabled=True, mode=Custom, texture=sector reflection probe 129 cubemap, importance=1, size=(15.48, 5.28, 11.88), pos=(108.00, 6.75, 23.40)
sector reflection probe 123: enabled=True, mode=Custom, texture=sector reflection probe 123 cubemap, importance=1, size=(40.68, 5.28, 26.28), pos=(124.20, -2.55, 189.00)
sector reflection probe 79: enabled=True, mode=Custom, texture=sector reflection probe 79 cubemap, importance=1, size=(11.88, 5.28, 80.28), pos=(9.00, -2.55, 104.40)
sector reflection probe 132: enabled=True, mode=Custom, texture=sector reflection probe 132 cubemap, importance=1, size=(15.48, 5.28, 15.48), pos=(108.00, 6.75, 39.60)
sector reflection probe 144: enabled=True, mode=Custom, texture=sector reflection probe 144 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(23.40, 6.75, 77.40)
sector reflection probe 116: enabled=True, mode=Custom, texture=sector reflection probe 116 cubemap, importance=1, size=(8.28, 5.28, 4.68), pos=(133.20, -2.55, 149.40)
sector reflection probe 81: enabled=True, mode=Custom, texture=sector reflection probe 81 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(23.40, -2.55, 77.40)
sector reflection probe 26: enabled=True, mode=Custom, texture=sector reflection probe 26 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(196.20, 2.10, 70.20)
sector reflection probe 118: enabled=True, mode=Custom, texture=sector reflection probe 118 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(9.00, -2.55, 153.00)
sector reflection probe 08: enabled=True, mode=Custom, texture=sector reflection probe 08 cubemap, importance=1, size=(19.08, 5.28, 4.68), pos=(52.20, 2.10, 41.40)
sector reflection probe 52: enabled=True, mode=Custom, texture=sector reflection probe 52 cubemap, importance=1, size=(8.28, 5.28, 4.68), pos=(115.20, 2.10, 149.40)
sector reflection probe 07: enabled=True, mode=Custom, texture=sector reflection probe 07 cubemap, importance=1, size=(15.48, 5.28, 15.48), pos=(140.40, 2.10, 39.60)
sector reflection probe 135: enabled=True, mode=Custom, texture=sector reflection probe 135 cubemap, importance=1, size=(8.28, 5.28, 8.28), pos=(46.80, 6.75, 46.80)
sector reflection probe 30: enabled=True, mode=Custom, texture=sector reflection probe 30 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(192.60, 2.10, 70.20)
sector reflection probe 136: enabled=True, mode=Custom, texture=sector reflection probe 136 cubemap, importance=1, size=(8.28, 5.28, 8.28), pos=(57.60, 6.75, 46.80)
sector reflection probe 168: enabled=True, mode=Custom, texture=sector reflection probe 168 cubemap, importance=1, size=(8.28, 5.28, 33.48), pos=(198.00, 6.75, 109.80)
sector reflection probe 15: enabled=True, mode=Custom, texture=sector reflection probe 15 cubemap, importance=1, size=(58.68, 5.28, 11.88), pos=(32.40, 2.10, 59.40)
sector reflection probe 82: enabled=True, mode=Custom, texture=sector reflection probe 82 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(16.20, -2.55, 77.40)
sector reflection probe 64: enabled=True, mode=Custom, texture=sector reflection probe 64 cubemap, importance=1, size=(47.88, 5.28, 11.88), pos=(124.20, -2.55, 9.00)
sector reflection probe 19: enabled=True, mode=Custom, texture=sector reflection probe 19 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(16.20, 2.10, 77.40)
sector reflection probe 42: enabled=True, mode=Custom, texture=sector reflection probe 42 cubemap, importance=1, size=(8.28, 5.28, 33.48), pos=(198.00, 2.10, 109.80)
sector reflection probe 49: enabled=True, mode=Custom, texture=sector reflection probe 49 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(153.00, 2.10, 109.80)
sector reflection probe 152: enabled=True, mode=Custom, texture=sector reflection probe 152 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(196.20, 6.75, 70.20)
sector reflection probe 131: enabled=True, mode=Custom, texture=sector reflection probe 131 cubemap, importance=1, size=(8.28, 5.28, 8.28), pos=(50.40, 6.75, 32.40)
sector reflection probe 18: enabled=True, mode=Custom, texture=sector reflection probe 18 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(23.40, 2.10, 77.40)
sector reflection probe 34: enabled=True, mode=Custom, texture=sector reflection probe 34 cubemap, importance=1, size=(11.88, 5.28, 11.88), pos=(174.60, 2.10, 70.20)
sector reflection probe 32: enabled=True, mode=Custom, texture=sector reflection probe 32 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(207.00, 2.10, 70.20)
sector reflection probe 37: enabled=True, mode=Custom, texture=sector reflection probe 37 cubemap, importance=1, size=(4.68, 5.28, 15.48), pos=(178.20, 2.10, 108.00)
sector reflection probe 128: enabled=True, mode=Custom, texture=sector reflection probe 128 cubemap, importance=1, size=(11.88, 5.28, 33.48), pos=(124.20, 6.75, 30.60)
sector reflection probe 111: enabled=True, mode=Custom, texture=sector reflection probe 111 cubemap, importance=1, size=(19.08, 5.28, 26.28), pos=(142.20, -2.55, 109.80)
sector reflection probe 151: enabled=True, mode=Custom, texture=sector reflection probe 151 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(189.00, 6.75, 70.20)
